,TIME,NUM1,NUM2,NUM3,NUM4,NUM5,NUM6,BONUS_NUM
0,1,10,23,29,33,37,40,16
1,2,9,13,21,25,32,42,2
2,3,11,16,19,21,27,31,30
3,4,14,27,30,31,40,42,2
4,5,16,24,29,40,41,42,3
5,6,14,15,26,27,40,42,34
6,7,2,9,16,25,26,40,42
7,8,8,19,25,34,37,39,9
8,9,2,4,16,17,36,39,14
9,10,9,25,30,33,41,44,6
10,11,1,7,36,37,41,42,14
11,12,2,11,21,25,39,45,44
12,13,22,23,25,37,38,42,26
13,14,2,6,12,31,33,40,15
14,15,3,4,16,30,31,37,13
15,16,6,7,24,37,38,40,33
16,17,3,4,9,17,32,37,1
17,18,3,12,13,19,32,35,29
18,19,6,30,38,39,40,43,26
19,20,10,14,18,20,23,30,41
20,21,6,12,17,18,31,32,21
21,22,4,5,6,8,17,39,25
22,23,5,13,17,18,33,42,44
23,24,7,8,27,29,36,43,6
24,25,2,4,21,26,43,44,16
25,26,4,5,7,18,20,25,31
26,27,1,20,26,28,37,43,27
27,28,9,18,23,25,35,37,1
28,29,1,5,13,34,39,40,11
29,30,8,17,20,35,36,44,4
30,31,7,9,18,23,28,35,32
31,32,6,14,19,25,34,44,11
32,33,4,7,32,33,40,41,9
33,34,9,26,35,37,40,42,2
34,35,2,3,11,26,37,43,39
35,36,1,10,23,26,28,40,31
36,37,7,27,30,33,35,37,42
37,38,16,17,22,30,37,43,36
38,39,6,7,13,15,21,43,8
39,40,7,13,18,19,25,26,6
40,41,13,20,23,35,38,43,34
41,42,17,18,19,21,23,32,1
42,43,6,31,35,38,39,44,1
43,44,3,11,21,30,38,45,39
44,45,1,10,20,27,33,35,17
45,46,8,13,15,23,31,38,39
46,47,14,17,26,31,36,45,27
47,48,6,10,18,26,37,38,3
48,49,4,7,16,19,33,40,30
49,50,2,10,12,15,22,44,1
50,51,2,3,11,16,26,44,35
51,52,2,4,15,16,20,29,1
52,53,7,8,14,32,33,39,42
53,54,1,8,21,27,36,39,37
54,55,17,21,31,37,40,44,7
55,56,10,14,30,31,33,37,19
56,57,7,10,16,25,29,44,6
57,58,10,24,25,33,40,44,1
58,59,6,29,36,39,41,45,13
59,60,2,8,25,36,39,42,11
60,61,14,15,19,30,38,43,8
61,62,3,8,15,27,29,35,21
62,63,3,20,23,36,38,40,5
63,64,14,15,18,21,26,36,39
